backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,nll,nll_marker,nll_time,mark_acc,qty_mae,qty_rmse,qty_bias
rmtpp,Adapted RMTPP,log_regression,42,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.5248896801754177,0.07459296728149512,-3.599482647456913,0.9682716836734694,0.8367719831092435,1.7642378815862494,-0.30051889008965954
rmtpp,Adapted RMTPP,log_regression,42,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.502264008925618,0.09721909417065322,-3.5994831030962673,0.9598678661793646,1.3439336482049007,3.456636311192948,-0.2819424065493418
rmtpp,Adapted RMTPP,log_regression,42,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.5157139614088537,0.08377571546377004,-3.5994896768726248,0.9671665495861458,0.10211892684659984,0.35053605444266217,0.03459406474868661
rmtpp,Adapted RMTPP,log_regression,52,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.5222869458591677,0.07719186597423111,-3.599478811833399,0.9679926658163265,0.749764153579421,1.689178637452974,0.008852507446284349
rmtpp,Adapted RMTPP,log_regression,52,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.4967192725151786,0.10275147195932828,-3.599470744474503,0.9608869834129885,1.157922345190813,3.2112114484544745,0.08414552696331988
rmtpp,Adapted RMTPP,log_regression,52,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.5186621448267847,0.08082521050673072,-3.5994873553335163,0.9669222076295776,0.08486779192656844,0.3525995327521685,-0.01212925006858241
rmtpp,Adapted RMTPP,log_regression,62,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.5241971210274663,0.07527053572824259,-3.599467656755706,0.9695471938775511,0.7849065207006714,1.6814881781966908,-0.2168387333240018
rmtpp,Adapted RMTPP,log_regression,62,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.4996216025672067,0.09985960658602094,-3.5994812091532333,0.960078718020804,1.2639336702145483,3.1396882031498685,0.2486573646045616
rmtpp,Adapted RMTPP,log_regression,62,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.519579587840084,0.0798989758110608,-3.5994785636511426,0.9670749213524328,0.08790562835618909,0.36999703799137024,0.01360475564788714
thp,Adapted THP,log_regression,42,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.4944489919859056,0.10492328745473768,-3.599372279440642,0.9595025510204082,1.4862525962787319,4.213554346207538,0.9145859548042775
thp,Adapted THP,log_regression,42,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.4294845016543594,0.1699152663565078,-3.599399768010867,0.9352333427045263,3.0558811131490895,8.181492106043441,1.919383960273583
thp,Adapted THP,log_regression,42,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.487222016991924,0.112213780172762,-3.599435797164685,0.9557435631165817,0.18271649745639282,0.7361950496255701,-0.02423391711795262
thp,Adapted THP,log_regression,52,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.4843051708046344,0.11064169140328352,-3.594946862207916,0.9589445153061225,1.8913839099600873,4.3663517602923045,1.5124277704115006
thp,Adapted THP,log_regression,52,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.43630805872522,0.15867339841322933,-3.5949814571384504,0.9459516446443632,4.334233458441129,9.580534132427498,3.9607791093156886
thp,Adapted THP,log_regression,52,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.472907605304432,0.12211001918823133,-3.5950176244926624,0.9486881891206744,0.18892191974387296,0.8464388021769159,0.019728086754301474
thp,Adapted THP,log_regression,62,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.4896858056043683,0.10038440215095949,-3.5900702077553284,0.9612563775510204,1.7047904161118654,5.911115668126129,1.111771316966042
thp,Adapted THP,log_regression,62,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.4123242520210537,0.17776320484903213,-3.590087456870086,0.937131009277481,4.666900167167857,13.762986321517289,4.095316895265692
thp,Adapted THP,log_regression,62,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.465040786471525,0.12505573928103814,-3.5900965257525637,0.9483522189303931,0.2054507849685492,0.9985954660480079,0.024426631503170555
